station_name X Y Z dish_dia el_low el_high SEFD altitude
dsa-222 -2404306.0873070774 -4480451.7477697395 3839493.16582671 5.0 15.0 85.0 110.0 5000.0
dsa-223 -2404635.7282763366 -4480038.29529477 3839766.6816074704 5.0 15.0 85.0 110.0 5000.0
dsa-224 -2404322.6367431525 -4480576.024756657 3839338.873994321 5.0 15.0 85.0 110.0 5000.0
dsa-225 -2404099.5865629073 -4480492.369433094 3839574.8221080564 5.0 15.0 85.0 110.0 5000.0
dsa-226 -2403801.5251986957 -4480919.233959263 3839266.083997962 5.0 15.0 85.0 110.0 5000.0
dsa-227 -2403648.3709417214 -4480609.503874321 3839720.3742359923 5.0 15.0 85.0 110.0 5000.0
dsa-228 -2403723.5384703623 -4481131.2714514965 3839069.0473886086 5.0 15.0 85.0 110.0 5000.0
dsa-229 -2404035.844070802 -4480694.419593873 3839380.477148912 5.0 15.0 85.0 110.0 5000.0
dsa-230 -2404123.906174291 -4480834.641556004 3839163.1373272547 5.0 15.0 85.0 110.0 5000.0
dsa-231 -2404931.609309899 -4480456.36791422 3839097.910383257 5.0 15.0 85.0 110.0 5000.0
dsa-232 -2405027.438594702 -4480346.087355451 3839165.9388409895 5.0 15.0 85.0 110.0 5000.0
dsa-233 -2405169.236859445 -4480217.55795266 3839226.455198052 5.0 15.0 85.0 110.0 5000.0
dsa-234 -2406042.5526593686 -4479811.961706057 3839151.9838162614 5.0 15.0 85.0 110.0 5000.0
dsa-235 -2405817.4652293604 -4480140.42356503 3838911.759795695 5.0 15.0 85.0 110.0 5000.0
dsa-236 -2405127.1531999833 -4480367.8307724325 3839078.594348806 5.0 15.0 85.0 110.0 5000.0
dsa-237 -2405301.2841635365 -4480339.566956445 3839002.798239339 5.0 15.0 85.0 110.0 5000.0
dsa-238 -2405143.0334850675 -4480181.331790909 3839284.75677516 5.0 15.0 85.0 110.0 5000.0
dsa-239 -2405492.90312995 -4479990.387517805 3839287.885490333 5.0 15.0 85.0 110.0 5000.0
dsa-240 -2405782.928606584 -4479963.893922586 3839137.798715283 5.0 15.0 85.0 110.0 5000.0
dsa-241 -2406188.1066543707 -4479912.382644224 3838944.9178075828 5.0 15.0 85.0 110.0 5000.0
dsa-242 -2406129.0839631166 -4479747.454504117 3839172.7790245437 5.0 15.0 85.0 110.0 5000.0
dsa-243 -2406284.3165402776 -4479811.323422686 3839002.026013287 5.0 15.0 85.0 110.0 5000.0
dsa-244 -2405651.723000188 -4479716.459926882 3839506.2371686697 5.0 15.0 85.0 110.0 5000.0
dsa-245 -2405709.6356584835 -4479704.599537152 3839483.8791949744 5.0 15.0 85.0 110.0 5000.0
dsa-246 -2406052.921460107 -4479465.950820745 3839546.3778674984 5.0 15.0 85.0 110.0 5000.0
dsa-247 -2406402.448760942 -4479361.229721337 3839449.829539054 5.0 15.0 85.0 110.0 5000.0
dsa-248 -2406448.6908473796 -4479259.3073042175 3839539.083900884 5.0 15.0 85.0 110.0 5000.0
dsa-249 -2406551.297193037 -4479301.127430224 3839426.6778429276 5.0 15.0 85.0 110.0 5000.0
dsa-250 -2406579.7582557267 -4479393.270728339 3839302.1884157294 5.0 15.0 85.0 110.0 5000.0
dsa-251 -2406601.092113714 -4479857.704188819 3838750.839559092 5.0 15.0 85.0 110.0 5000.0
dsa-252 -2406370.6722234134 -4479789.137532582 3838973.9010144146 5.0 15.0 85.0 110.0 5000.0
dsa-253 -2406964.666428973 -4479729.1066517355 3838673.1964865997 5.0 15.0 85.0 110.0 5000.0
dsa-254 -2406822.476493751 -4479633.967480076 3838872.0466147363 5.0 15.0 85.0 110.0 5000.0
